,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Health Expenditure Australia 2022–23 - Datacube,,,,,,,,,
,,,,,,,,,
Year,Jurisdiction,Sector,Area of expenditure,Broad source of funds,Source of funds,Current amount ($),Constant amount ($),Current per person ($),Constant per person ($)
2014-15,NT,Other services,Administration,State and local government,State and local government,"2,40,42,985","2,95,08,046",99,122
2014-15,NT,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,NT,Other services,Aids and appliances,Australian Government,DoHAC and other,"38,75,135","45,11,300",16,19
2014-15,NT,Other services,Aids and appliances,Australian Government,Premium rebates,"18,68,236","21,74,937",8,9
2014-15,NT,Other services,Aids and appliances,Non-government,Health Insurance Funds,"45,99,238","53,54,276",19,22
2014-15,NT,Other services,Aids and appliances,Non-government,Individuals,"1,44,48,044","1,68,19,920",60,69
2014-15,NT,Other services,Aids and appliances,Non-government,Other sources of fund,"17,07,575","19,87,901",7,8
2014-15,NT,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,NT,Other services,Patient transport services,Australian Government,DoHAC and other,"1,17,57,894","1,42,83,699",48,59
2014-15,NT,Other services,Patient transport services,Australian Government,Premium rebates,"3,10,456","3,77,148",1,2
2014-15,NT,Other services,Patient transport services,Non-government,Health Insurance Funds,"7,64,283","9,28,465",3,4
2014-15,NT,Other services,Patient transport services,Non-government,Individuals,"3,85,243","4,68,001",2,2
2014-15,NT,Other services,Patient transport services,Non-government,Other sources of fund,"6,90,402","8,38,713",3,3
2014-15,NT,Other services,Patient transport services,State and local government,State and local government,"9,18,93,044","11,16,33,307",379,460
2014-15,NT,Primary health care,All other medications,Australian Government,DoHAC and other,"70,31,803","75,84,260",29,31
2014-15,NT,Primary health care,All other medications,Australian Government,Premium rebates,"81,751","90,020",0,0
2014-15,NT,Primary health care,All other medications,Non-government,Health Insurance Funds,"2,01,255","2,21,612",1,1
2014-15,NT,Primary health care,All other medications,Non-government,Individuals,"3,86,67,260","4,25,78,313",159,175
2014-15,NT,Primary health care,All other medications,Non-government,Other sources of fund,"4,32,411","4,76,148",2,2
2014-15,NT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"5,79,625","8,52,987",2,4
2014-15,NT,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"4,53,33,056","6,67,11,548",187,275
2014-15,NT,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"66,49,980","97,86,224",27,40
2014-15,NT,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,NT,Primary health care,Community health and other,Australian Government,DoHAC and other,"17,31,37,362","21,24,79,963",713,875
2014-15,NT,Primary health care,Community health and other,Australian Government,Premium rebates,242,297,0,0
2014-15,NT,Primary health care,Community health and other,Non-government,Health Insurance Funds,596,731,0,0
2014-15,NT,Primary health care,Community health and other,Non-government,Individuals,"5,26,286","6,45,913",2,3
2014-15,NT,Primary health care,Community health and other,Non-government,Other sources of fund,"2,27,638","2,79,382",1,1
2014-15,NT,Primary health care,Community health and other,State and local government,State and local government,"28,57,91,085","35,07,52,473","1,177","1,445"
2014-15,NT,Primary health care,Dental services,Australian Government,Department of Veterans' Affairs,"2,71,749","2,98,300",1,1
2014-15,NT,Primary health care,Dental services,Australian Government,DoHAC and other,"33,00,042","36,22,454",14,15
2014-15,NT,Primary health care,Dental services,Australian Government,Premium rebates,"43,34,237","47,57,706",18,20
2014-15,NT,Primary health care,Dental services,Non-government,Health Insurance Funds,"1,06,70,058","1,17,12,557",44,48
2014-15,NT,Primary health care,Dental services,Non-government,Individuals,"6,84,09,336","7,50,93,148",282,309
2014-15,NT,Primary health care,Dental services,Non-government,Other sources of fund,"2,73,572","3,00,301",1,1
2014-15,NT,Primary health care,Dental services,State and local government,State and local government,"1,44,77,698","1,58,92,216",60,65
2014-15,NT,Primary health care,Other health practitioners,Australian Government,Department of Veterans' Affairs,"4,57,286","5,71,821",2,2
2014-15,NT,Primary health care,Other health practitioners,Australian Government,DoHAC and other,"70,52,121","88,18,449",29,36
2014-15,NT,Primary health care,Other health practitioners,Australian Government,Premium rebates,"19,27,962","24,10,855",8,10
2014-15,NT,Primary health care,Other health practitioners,Non-government,Health Insurance Funds,"47,46,273","59,35,060",20,24
2014-15,NT,Primary health care,Other health practitioners,Non-government,Individuals,"2,92,19,286","3,65,37,773",120,151
2014-15,NT,Primary health care,Other health practitioners,Non-government,Other sources of fund,"77,01,468","96,30,437",32,40
2014-15,NT,Primary health care,Other health practitioners,State and local government,State and local government,"8,77,800","10,97,661",4,5
2014-15,NT,Primary health care,Public health,Australian Government,DoHAC and other,"2,78,17,309","3,24,72,733",115,134
2014-15,NT,Primary health care,Public health,Non-government,Individuals,"67,745","82,297",0,0
2014-15,NT,Primary health care,Public health,Non-government,Other sources of fund,"3,74,642","4,55,122",2,2
2014-15,NT,Primary health care,Public health,State and local government,State and local government,"5,52,50,856","6,71,19,724",228,276
2014-15,NT,Primary health care,Unreferred medical services,Australian Government,Department of Veterans' Affairs,"4,79,410","5,58,831",2,2
2014-15,NT,Primary health care,Unreferred medical services,Australian Government,DoHAC and other,"8,55,46,030","9,96,22,395",352,410
2014-15,NT,Primary health care,Unreferred medical services,Non-government,Individuals,"60,68,706","70,74,077",25,29
2014-15,NT,Primary health care,Unreferred medical services,Non-government,Other sources of fund,"1,66,22,837","1,93,76,658",68,80
2014-15,NT,Referred medical services,Referred medical services,Australian Government,Department of Veterans' Affairs,"25,91,826","30,21,201",11,12
2014-15,NT,Referred medical services,Referred medical services,Australian Government,DoHAC and other,"6,82,23,941","7,95,26,255",281,328
2014-15,NT,Referred medical services,Referred medical services,Australian Government,Premium rebates,"25,05,057","29,20,057",10,12
2014-15,NT,Referred medical services,Referred medical services,Non-government,Health Insurance Funds,"61,66,968","71,88,618",25,30
2014-15,NT,Referred medical services,Referred medical services,Non-government,Individuals,"1,29,62,551","1,51,09,991",53,62
2014-15,NT,Research,Research,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,NT,Research,Research,Australian Government,DoHAC and other,"1,88,89,478","2,31,83,128",78,96
2014-15,NT,Research,Research,Non-government,Individuals,191,234,0,0
2014-15,NT,Research,Research,Non-government,Other sources of fund,"13,35,879","16,39,530",6,7
2014-15,NT,Research,Research,State and local government,State and local government,"61,65,182","75,66,551",25,31
2014-15,Qld,Capital expenditure,Capital expenditure,Australian Government,DoHAC and other,"91,63,971","1,03,99,027",2,2
2014-15,Qld,Capital expenditure,Capital expenditure,Non-government,Other sources of fund,"1,32,90,87,553","1,76,96,48,995",280,373
2014-15,Qld,Capital expenditure,Capital expenditure,State and local government,State and local government,"95,70,00,000","1,19,78,22,074",202,252
2014-15,Qld,Hospitals,Private hospitals,Australian Government,Department of Veterans' Affairs,"30,83,05,698","37,37,69,870",65,79
2014-15,Qld,Hospitals,Private hospitals,Australian Government,DoHAC and other,"7,95,79,440","9,64,74,079",17,20
2014-15,Qld,Hospitals,Private hospitals,Australian Government,Premium rebates,"63,39,65,553","76,85,78,794",134,162
2014-15,Qld,Hospitals,Private hospitals,Non-government,Health Insurance Funds,"1,56,06,62,267","1,89,20,45,899",329,399
2014-15,Qld,Hospitals,Private hospitals,Non-government,Individuals,"34,28,58,683","41,56,59,671",72,88
2014-15,Qld,Hospitals,Private hospitals,Non-government,Other sources of fund,"17,37,38,799","21,06,29,672",37,44
2014-15,Qld,Hospitals,Private hospitals,State and local government,State and local government,"12,17,34,000","14,75,82,421",26,31
2014-15,Qld,Hospitals,Public hospital services,Australian Government,Department of Veterans' Affairs,"10,85,04,302","13,15,43,591",23,28
2014-15,Qld,Hospitals,Public hospital services,Australian Government,DoHAC and other,"3,50,25,03,567","4,24,57,57,806",738,894
2014-15,Qld,Hospitals,Public hospital services,Australian Government,Premium rebates,"4,25,18,659","5,15,46,870",9,11
2014-15,Qld,Hospitals,Public hospital services,Non-government,Health Insurance Funds,"10,46,70,147","12,68,95,310",22,27
2014-15,Qld,Hospitals,Public hospital services,Non-government,Individuals,"32,59,78,052","39,51,94,688",69,83
2014-15,Qld,Hospitals,Public hospital services,Non-government,Other sources of fund,"52,43,73,070","63,57,15,963",110,134
2014-15,Qld,Hospitals,Public hospital services,State and local government,State and local government,"4,62,96,72,271","5,61,27,14,946",975,"1,182"
2014-15,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Australian Government,DoHAC and other,"2,66,07,500","3,25,74,927",6,7
2014-15,Qld,Medical expenses tax rebate,Medical expenses tax rebate,Non-government,Individuals,"-2,66,07,500","-3,25,74,927",-6,-7
2014-15,Qld,Other services,Administration,Australian Government,Department of Veterans' Affairs,0,0,0,0
2014-15,Qld,Other services,Administration,Australian Government,DoHAC and other,"30,44,32,157","37,24,22,819",64,78
2014-15,Qld,Other services,Administration,Australian Government,Premium rebates,"10,45,01,452","12,79,38,634",22,27
2014-15,Qld,Other services,Administration,Non-government,Health Insurance Funds,"25,72,62,463","31,49,60,295",54,66
2014-15,Qld,Other services,Administration,State and local government,State and local government,"23,28,31,409","28,50,49,939",49,60
2014-15,Qld,Other services,Aids and appliances,Australian Government,Department of Veterans' Affairs,"4,81,000","5,59,964",0,0
2014-15,Qld,Other services,Aids and appliances,Australian Government,DoHAC and other,"9,52,54,467","11,08,92,002",20,23
2014-15,Qld,Other services,Aids and appliances,Australian Government,Premium rebates,"5,12,08,787","5,96,15,523",11,13
2014-15,Qld,Other services,Aids and appliances,Non-government,Health Insurance Funds,"12,60,66,177","14,67,61,945",27,31
2014-15,Qld,Other services,Aids and appliances,Non-government,Individuals,"53,31,32,717","62,06,54,928",112,131
2014-15,Qld,Other services,Aids and appliances,Non-government,Other sources of fund,"98,23,526","1,14,36,214",2,2
2014-15,Qld,Other services,Patient transport services,Australian Government,Department of Veterans' Affairs,"2,60,24,000","3,15,49,813",5,7
2014-15,Qld,Other services,Patient transport services,Australian Government,DoHAC and other,"1,62,17,281","1,96,60,782",3,4
2014-15,Qld,Other services,Patient transport services,Australian Government,Premium rebates,"1,56,517","1,89,751",0,0
2014-15,Qld,Other services,Patient transport services,Non-government,Health Insurance Funds,"3,85,315","4,67,131",0,0
2014-15,Qld,Other services,Patient transport services,Non-government,Other sources of fund,"44,50,171","53,95,099",1,1
2014-15,Qld,Other services,Patient transport services,State and local government,State and local government,"74,21,40,579","89,97,23,194",156,190
2014-15,Qld,Primary health care,All other medications,Australian Government,DoHAC and other,"11,37,18,957","12,73,54,157",24,27
2014-15,Qld,Primary health care,All other medications,Australian Government,Premium rebates,"37,80,470","41,96,408",1,1
2014-15,Qld,Primary health care,All other medications,Non-government,Health Insurance Funds,"93,06,790","1,03,30,748",2,2
2014-15,Qld,Primary health care,All other medications,Non-government,Individuals,"1,80,15,16,926","1,99,97,24,523",379,421
2014-15,Qld,Primary health care,All other medications,Non-government,Other sources of fund,"1,11,03,898","1,23,25,577",2,3
2014-15,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,Department of Veterans' Affairs,"8,29,97,000","12,21,39,806",17,26
2014-15,Qld,Primary health care,Benefit-paid pharmaceuticals,Australian Government,DoHAC and other,"1,48,61,90,290","2,18,70,76,942",313,461
2014-15,Qld,Primary health care,Benefit-paid pharmaceuticals,Non-government,Individuals,"29,84,74,551","43,92,40,258",63,93
2014-15,Qld,Primary health care,Community health and other,Australian Government,Department of Veterans' Affairs,"28,000","34,280",0,0
2014-15,Qld,Primary health care,Community health and other,Australian Government,DoHAC and other,"25,26,46,051","30,92,43,117",53,65
2014-15,Qld,Primary health care,Community health and other,Australian Government,Premium rebates,"35,029","42,886",0,0
2014-15,Qld,Primary health care,Community health and other,Non-government,Health Insurance Funds,"86,236","1,05,576",0,0
2014-15,Qld,Primary health care,Community health and other,Non-government,Individuals,"2,16,73,000","2,65,33,737",5,6
2014-15,Qld,Primary health care,Community health and other,Non-government,Other sources of fund,"2,01,66,503","2,46,89,369",4,5
2014-15,Qld,Primary health care,Community health and other,State and local government,State and local government,"2,18,78,28,228","2,67,85,05,899",461,564
