eInjury_01,DiagnosisCodeDescr
V49.19,Passenger injured in collision with other motor vehicles in nontraffic accident
V49.2,Unspecified car occupant injured in collision with other and unspecified motor vehicles in nontraffic accident
V49.20,Unspecified car occupant injured in collision with unspecified motor vehicles in nontraffic accident
V49.29,Unspecified car occupant injured in collision with other motor vehicles in nontraffic accident
V49.3,Car occupant (driver) (passenger) injured in unspecified nontraffic accident
V49.4,Driver injured in collision with other and unspecified motor vehicles in traffic accident
V49.40,Driver injured in collision with unspecified motor vehicles in traffic accident
V49.49,Driver injured in collision with other motor vehicles in traffic accident
V49.5,Passenger injured in collision with other and unspecified motor vehicles in traffic accident
V49.50,Passenger injured in collision with unspecified motor vehicles in traffic accident
V49.59,Passenger injured in collision with other motor vehicles in traffic accident
V49.6,Unspecified car occupant injured in collision with other and unspecified motor vehicles in traffic accident
V49.60,Unspecified car occupant injured in collision with unspecified motor vehicles in traffic accident
V49.60XA,"Unspecified car occupant injured in collision with unspecified motor vehicles in traffic accident, initial encounter"
V49.69,Unspecified car occupant injured in collision with other motor vehicles in traffic accident
V49.8,Car occupant (driver) (passenger) injured in other specified transport accidents
V49.81,Car occupant (driver) (passenger) injured in transport accident with military vehicle
V49.88,Car occupant (driver) (passenger) injured in other specified transport accidents
V49.9,Car occupant (driver) (passenger) injured in unspecified traffic accident
V49.9XXA,"Car occupant (driver) (passenger) injured in unspecified traffic accident, initial encounter"
V50,Occupant of pick-up truck or van injured in collision with pedestrian or animal
V50.0,Driver of pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident
V50.1,Passenger in pick-up truck or van injured in collision with pedestrian or animal in nontraffic accident
V50.5,Driver of pick-up truck or van injured in collision with pedestrian or animal in traffic accident
V50.6,Passenger in pick-up truck or van injured in collision with pedestrian or animal in traffic accident
V50.9,Unspecified occupant of pick-up truck or van injured in collision with pedestrian or animal in traffic accident
V51.1,Passenger in pick-up truck or van injured in collision with pedal cycle in nontraffic accident
V51.5,Driver of pick-up truck or van injured in collision with pedal cycle in traffic accident
V52.0,Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V52.1,Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in nontraffic accident
V52.5,Driver of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident
V52.6,Passenger in pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident
V52.7,Person on outside of pick-up truck or van injured in collision with two- or three-wheeled motor vehicle in traffic accident
V53,"Occupant of pick-up truck or van injured in collision with car, pick-up truck or van"
V53.0,"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident"
V53.1,"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident"
V53.2,"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident"
V53.3,"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in nontraffic accident"
V53.5,"Driver of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident"
V53.6,"Passenger in pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident"
V53.7,"Person on outside of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident"
V53.9,"Unspecified occupant of pick-up truck or van injured in collision with car, pick-up truck or van in traffic accident"
V54,Occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus
V54.0,Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident
V54.1,Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in nontraffic accident
V54.5,Driver of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident
V54.6,Passenger in pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident
V54.9,Unspecified occupant of pick-up truck or van injured in collision with heavy transport vehicle or bus in traffic accident
V55.0,Driver of pick-up truck or van injured in collision with railway train or railway vehicle in nontraffic accident
V55.5,Driver of pick-up truck or van injured in collision with railway train or railway vehicle in traffic accident
V56,Occupant of pick-up truck or van injured in collision with other nonmotor vehicle
V56.0,Driver of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident
V56.1,Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident
V56.3,Unspecified occupant of pick-up truck or van injured in collision with other nonmotor vehicle in nontraffic accident
V56.5,Driver of pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident
V56.6,Passenger in pick-up truck or van injured in collision with other nonmotor vehicle in traffic accident
V57,Occupant of pick-up truck or van injured in collision with fixed or stationary object
V57.0,Driver of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident
V57.1,Passenger in pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident
V57.3,Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in nontraffic accident
V57.5,Driver of pick-up truck or van injured in collision with fixed or stationary object in traffic accident
V57.6,Passenger in pick-up truck or van injured in collision with fixed or stationary object in traffic accident
V57.9,Unspecified occupant of pick-up truck or van injured in collision with fixed or stationary object in traffic accident
V58.0,Driver of pick-up truck or van injured in noncollision transport accident in nontraffic accident
V58.1,Passenger in pick-up truck or van injured in noncollision transport accident in nontraffic accident
V58.2,Person on outside of pick-up truck or van injured in noncollision transport accident in nontraffic accident
V58.3,Unspecified occupant of pick-up truck or van injured in noncollision transport accident in nontraffic accident
V58.4,Person boarding or alighting a pick-up truck or van injured in noncollision transport accident
V58.5,Driver of pick-up truck or van injured in noncollision transport accident in traffic accident
V58.6,Passenger in pick-up truck or van injured in noncollision transport accident in traffic accident
