eSituation_12,DiagnosisCodeDescr
L97.409,Non-pressure chronic ulcer of unspecified heel and midfoot with unspecified severity
L97.411,Non-pressure chronic ulcer of right heel and midfoot limited to breakdown of skin
L97.412,Non-pressure chronic ulcer of right heel and midfoot with fat layer exposed
L97.413,Non-pressure chronic ulcer of right heel and midfoot with necrosis of muscle
L97.414,Non-pressure chronic ulcer of right heel and midfoot with necrosis of bone
L97.421,Non-pressure chronic ulcer of left heel and midfoot limited to breakdown of skin
L97.422,Non-pressure chronic ulcer of left heel and midfoot with fat layer exposed
L97.423,Non-pressure chronic ulcer of left heel and midfoot with necrosis of muscle
L97.424,Non-pressure chronic ulcer of left heel and midfoot with necrosis of bone
L97.429,Non-pressure chronic ulcer of left heel and midfoot with unspecified severity
L97.501,Non-pressure chronic ulcer of other part of unspecified foot limited to breakdown of skin
L97.503,Non-pressure chronic ulcer of other part of unspecified foot with necrosis of muscle
L97.509,Non-pressure chronic ulcer of other part of unspecified foot with unspecified severity
L97.519,Non-pressure chronic ulcer of other part of right foot with unspecified severity
L97.529,Non-pressure chronic ulcer of other part of left foot with unspecified severity
L97.804,Non-pressure chronic ulcer of other part of unspecified lower leg with necrosis of bone
L97.809,Non-pressure chronic ulcer of other part of unspecified lower leg with unspecified severity
L97.813,Non-pressure chronic ulcer of other part of right lower leg with necrosis of muscle
L97.829,Non-pressure chronic ulcer of other part of left lower leg with unspecified severity
L97.909,Non-pressure chronic ulcer of unspecified part of unspecified lower leg with unspecified severity
L97.919,Non-pressure chronic ulcer of unspecified part of right lower leg with unspecified severity
L97.929,Non-pressure chronic ulcer of unspecified part of left lower leg with unspecified severity
L98.4,"Non-pressure chronic ulcer of skin, not elsewhere classified"
L98.411,Non-pressure chronic ulcer of buttock limited to breakdown of skin
L98.412,Non-pressure chronic ulcer of buttock with fat layer exposed
L98.413,Non-pressure chronic ulcer of buttock with necrosis of muscle
L98.414,Non-pressure chronic ulcer of buttock with necrosis of bone
L98.419,Non-pressure chronic ulcer of buttock with unspecified severity
L98.429,Non-pressure chronic ulcer of back with unspecified severity
L98.491,Non-pressure chronic ulcer of skin of other sites limited to breakdown of skin
L98.492,Non-pressure chronic ulcer of skin of other sites with fat layer exposed
L98.499,Non-pressure chronic ulcer of skin of other sites with unspecified severity
L98.8,Other specified disorders of the skin and subcutaneous tissue
L98.9,"Disorder of the skin and subcutaneous tissue, unspecified"
M00.20,"Other streptococcal arthritis, unspecified joint"
M00.80,"Arthritis due to other bacteria, unspecified joint"
M01,Direct infections of joint in infectious and parasitic diseases classified elsewhere
M01.X41,Direct infection of right hand in infectious and parasitic diseases classified elsewhere
M01.X42,Direct infection of left hand in infectious and parasitic diseases classified elsewhere
M01.X59,Direct infection of unspecified hip in infectious and parasitic diseases classified elsewhere
M05.37,Rheumatoid heart disease with rheumatoid arthritis of ankle and foot
M05.59,Rheumatoid polyneuropathy with rheumatoid arthritis of multiple sites
M05.861,Other rheumatoid arthritis with rheumatoid factor of right knee
M06.849,"Other specified rheumatoid arthritis, unspecified hand"
M06.89,"Other specified rheumatoid arthritis, multiple sites"
M06.9,"Rheumatoid arthritis, unspecified"
M10.0,Idiopathic gout
M10.00,"Idiopathic gout, unspecified site"
M10.30,"Gout due to renal impairment, unspecified site"
M10.9,"Gout, unspecified"
M11.2,Other chondrocalcinosis
M11.851,"Other specified crystal arthropathies, right hip"
M11.852,"Other specified crystal arthropathies, left hip"
M11.861,"Other specified crystal arthropathies, right knee"
M12.50,"Traumatic arthropathy, unspecified site"
M12.551,"Traumatic arthropathy, right hip"
M12.552,"Traumatic arthropathy, left hip"
M12.572,"Traumatic arthropathy, left ankle and foot"
M12.58,"Traumatic arthropathy, other specified site"
M12.59,"Traumatic arthropathy, multiple sites"
M12.861,"Other specific arthropathies, not elsewhere classified, right knee"
M12.862,"Other specific arthropathies, not elsewhere classified, left knee"
M12.9,"Arthropathy, unspecified"
M13.0,"Polyarthritis, unspecified"
M13.80,"Other specified arthritis, unspecified site"
M15.0,Primary generalized (osteo)arthritis
M15.4,Erosive (osteo)arthritis
M16.0,Bilateral primary osteoarthritis of hip
M16.11,"Unilateral primary osteoarthritis, right hip"
M16.12,"Unilateral primary osteoarthritis, left hip"
M16.50,"Unilateral post-traumatic osteoarthritis, unspecified hip"
M16.9,"Osteoarthritis of hip, unspecified"
M17.0,Bilateral primary osteoarthritis of knee
M17.10,"Unilateral primary osteoarthritis, unspecified knee"
M17.11,"Unilateral primary osteoarthritis, right knee"
M17.12,"Unilateral primary osteoarthritis, left knee"
M17.9,"Osteoarthritis of knee, unspecified"
M19.0,Primary osteoarthritis of other joints
M19.032,"Primary osteoarthritis, left wrist"
M19.041,"Primary osteoarthritis, right hand"
M19.042,"Primary osteoarthritis, left hand"
M19.071,"Primary osteoarthritis, right ankle and foot"
M19.072,"Primary osteoarthritis, left ankle and foot"
M19.179,"Post-traumatic osteoarthritis, unspecified ankle and foot"
M19.90,"Unspecified osteoarthritis, unspecified site"
M1A.0,Idiopathic chronic gout
M1A.30,"Chronic gout due to renal impairment, unspecified site"
M20,Acquired deformities of fingers and toes
M20.60,"Acquired deformities of toe(s), unspecified, unspecified foot"
M21.172,"Varus deformity, not elsewhere classified, left ankle"
M21.20,"Flexion deformity, unspecified site"
M21.211,"Flexion deformity, right shoulder"
M21.212,"Flexion deformity, left shoulder"
M21.219,"Flexion deformity, unspecified shoulder"
M21.231,"Flexion deformity, right wrist"
M21.232,"Flexion deformity, left wrist"
M21.239,"Flexion deformity, unspecified wrist"
M21.261,"Flexion deformity, right knee"
M21.371,"Foot drop, right foot"
M21.372,"Foot drop, left foot"
M21.6X9,Other acquired deformities of unspecified foot
M21.729,"Unequal limb length (acquired), unspecified humerus"
M21.751,"Unequal limb length (acquired), right femur"
M21.752,"Unequal limb length (acquired), left femur"
M21.759,"Unequal limb length (acquired), unspecified femur"
M21.80,Other specified acquired deformities of unspecified limb
M21.822,Other specified acquired deformities of left upper arm
M21.83,Other specified acquired deformities of forearm
M21.831,Other specified acquired deformities of right forearm
M21.859,Other specified acquired deformities of unspecified thigh
M21.861,Other specified acquired deformities of right lower leg
M21.90,Unspecified acquired deformity of unspecified limb
M21.92,Unspecified acquired deformity of upper arm
M21.921,Unspecified acquired deformity of right upper arm
M21.93,Unspecified acquired deformity of forearm
M21.939,Unspecified acquired deformity of unspecified forearm
M21.94,Unspecified acquired deformity of hand
M21.942,"Unspecified acquired deformity of hand, left hand"
M21.949,"Unspecified acquired deformity of hand, unspecified hand"
M21.951,Unspecified acquired deformity of right thigh
M21.952,Unspecified acquired deformity of left thigh
M21.959,Unspecified acquired deformity of unspecified thigh
M21.96,Unspecified acquired deformity of lower leg
M21.961,Unspecified acquired deformity of right lower leg
M21.962,Unspecified acquired deformity of left lower leg
M21.969,Unspecified acquired deformity of unspecified lower leg
M22,Disorder of patella
M22.8X2,"Other disorders of patella, left knee"
M22.90,"Unspecified disorder of patella, unspecified knee"
M23.5,Chronic instability of knee
M23.50,"Chronic instability of knee, unspecified knee"
M23.6,Other spontaneous disruption of ligament(s) of knee
M23.612,Other spontaneous disruption of anterior cruciate ligament of left knee
M24.25,"Disorder of ligament, hip"
M24.28,"Disorder of ligament, vertebrae"
M24.30,"Pathological dislocation of unspecified joint, not elsewhere classified"
M24.31,"Pathological dislocation of shoulder, not elsewhere classified"
M24.311,"Pathological dislocation of right shoulder, not elsewhere classified"
M24.312,"Pathological dislocation of left shoulder, not elsewhere classified"
M24.319,"Pathological dislocation of unspecified shoulder, not elsewhere classified"
M24.32,"Pathological dislocation of elbow, not elsewhere classified"
M24.322,"Pathological dislocation of left elbow, not elsewhere classified"
M24.329,"Pathological dislocation of unspecified elbow, not elsewhere classified"
M24.35,"Pathological dislocation of hip, not elsewhere classified"
M24.351,"Pathological dislocation of right hip, not elsewhere classified"
M24.359,"Pathological dislocation of unspecified hip, not elsewhere classified"
M24.36,"Pathological dislocation of knee, not elsewhere classified"
M24.369,"Pathological dislocation of unspecified knee, not elsewhere classified"
M24.371,"Pathological dislocation of right ankle, not elsewhere classified"
M24.373,"Pathological dislocation of unspecified ankle, not elsewhere classified"
M24.40,"Recurrent dislocation, unspecified joint"
M24.411,"Recurrent dislocation, right shoulder"
M24.412,"Recurrent dislocation, left shoulder"
M24.419,"Recurrent dislocation, unspecified shoulder"
M24.451,"Recurrent dislocation, right hip"
M24.459,"Recurrent dislocation, unspecified hip"
M24.469,"Recurrent dislocation, unspecified knee"
M24.49,"Recurrent dislocation, other specified joint"
M24.5,Contracture of joint
M24.50,"Contracture, unspecified joint"
M24.521,"Contracture, right elbow"
M24.522,"Contracture, left elbow"
M24.531,"Contracture, right wrist"
M24.532,"Contracture, left wrist"
M24.541,"Contracture, right hand"
M24.542,"Contracture, left hand"
M24.549,"Contracture, unspecified hand"
M24.551,"Contracture, right hip"
M24.552,"Contracture, left hip"
M24.559,"Contracture, unspecified hip"
M24.561,"Contracture, right knee"
M24.562,"Contracture, left knee"
M24.569,"Contracture, unspecified knee"
M24.571,"Contracture, right ankle"
M24.572,"Contracture, left ankle"
M24.573,"Contracture, unspecified ankle"
M24.574,"Contracture, right foot"
M24.575,"Contracture, left foot"
M24.576,"Contracture, unspecified foot"
M24.59,"Contracture, other specified joint"
M24.669,"Ankylosis, unspecified knee"
M24.80,"Other specific joint derangements of unspecified joint, not elsewhere classified"
M24.819,"Other specific joint derangements of unspecified shoulder, not elsewhere classified"
M24.829,"Other specific joint derangements of unspecified elbow, not elsewhere classified"
M25.039,"Hemarthrosis, unspecified wrist"
M25.059,"Hemarthrosis, unspecified hip"
M25.073,"Hemarthrosis, unspecified ankle"
M25.1,Fistula of joint
M25.30,"Other instability, unspecified joint"
M25.319,"Other instability, unspecified shoulder"
M25.339,"Other instability, unspecified wrist"
M25.351,"Other instability, right hip"
M25.352,"Other instability, left hip"
M25.362,"Other instability, left knee"
M25.369,"Other instability, unspecified knee"
M25.40,"Effusion, unspecified joint"
M25.411,"Effusion, right shoulder"
M25.412,"Effusion, left shoulder"
M25.421,"Effusion, right elbow"
M25.422,"Effusion, left elbow"
M25.431,"Effusion, right wrist"
M25.432,"Effusion, left wrist"
M25.439,"Effusion, unspecified wrist"
M25.441,"Effusion, right hand"
M25.442,"Effusion, left hand"
M25.449,"Effusion, unspecified hand"
M25.451,"Effusion, right hip"
M25.452,"Effusion, left hip"
M25.461,"Effusion, right knee"
M25.462,"Effusion, left knee"
M25.469,"Effusion, unspecified knee"
M25.471,"Effusion, right ankle"
M25.472,"Effusion, left ankle"
M25.473,"Effusion, unspecified ankle"
M25.476,"Effusion, unspecified foot"
M25.48,"Effusion, other site"
M25.5,Pain in joint
M25.50,Pain in unspecified joint
M25.51,Pain in shoulder
M25.511,Pain in right shoulder
M25.512,Pain in left shoulder
M25.519,Pain in unspecified shoulder
M25.52,Pain in elbow
M25.521,Pain in right elbow
M25.522,Pain in left elbow
M25.529,Pain in unspecified elbow
M25.53,Pain in wrist
M25.531,Pain in right wrist
M25.532,Pain in left wrist
M25.539,Pain in unspecified wrist
M25.54,Pain in joints of hand
M25.541,Pain in joints of right hand
M25.542,Pain in joints of left hand
M25.55,Pain in hip
M25.551,Pain in right hip
M25.552,Pain in left hip
M25.559,Pain in unspecified hip
M25.56,Pain in knee
M25.561,Pain in right knee
M25.562,Pain in left knee
M25.569,Pain in unspecified knee
M25.57,Pain in ankle and joints of foot
M25.571,Pain in right ankle and joints of right foot
M25.572,Pain in left ankle and joints of left foot
M25.579,Pain in unspecified ankle and joints of unspecified foot
M25.59,Pain in other specified joint
M25.60,"Stiffness of unspecified joint, not elsewhere classified"
M25.619,"Stiffness of unspecified shoulder, not elsewhere classified"
M25.639,"Stiffness of unspecified wrist, not elsewhere classified"
M25.641,"Stiffness of right hand, not elsewhere classified"
M25.659,"Stiffness of unspecified hip, not elsewhere classified"
M25.66,"Stiffness of knee, not elsewhere classified"
M25.661,"Stiffness of right knee, not elsewhere classified"
M25.662,"Stiffness of left knee, not elsewhere classified"
M25.69,"Stiffness of other specified joint, not elsewhere classified"
M25.85,"Other specified joint disorders, hip"
M25.859,"Other specified joint disorders, unspecified hip"
M25.862,"Other specified joint disorders, left knee"
M25.869,"Other specified joint disorders, unspecified knee"
M25.9,"Joint disorder, unspecified"
M26.09,Other specified anomalies of jaw size
M26.12,Other jaw asymmetry
M26.3,Anomalies of tooth position of fully erupted tooth or teeth
M26.30,Unspecified anomaly of tooth position of fully erupted tooth or teeth
M26.5,Dentofacial functional abnormalities
M26.50,"Dentofacial functional abnormalities, unspecified"
M26.51,Abnormal jaw closure
M26.52,Limited mandibular range of motion
M26.69,Other specified disorders of temporomandibular joint
M26.81,Anterior soft tissue impingement
M26.82,Posterior soft tissue impingement
M27.2,Inflammatory conditions of jaws
M27.6,Endosseous dental implant failure
M27.9,"Disease of jaws, unspecified"
M30.3,Mucocutaneous lymph node syndrome [Kawasaki]
M31.31,Wegener's granulomatosis with renal involvement
M32.10,"Systemic lupus erythematosus, organ or system involvement unspecified"
M32.8,Other forms of systemic lupus erythematosus
M32.9,"Systemic lupus erythematosus, unspecified"
